dist,resnet_time,pointnet_time,histogram_time,resnet+hist_time,ground_truth_total_time
uniform,0.3142421245574951,2.602336406707764,1.5900309085845918,1.904273033142087,199.5440436289978
diagonal,0.0450575351715087,4.737051248550415,3.5048892498016295,3.5499467849731383,521.8771008985748
gaussian,0.0150198936462402,2.23638129234314,1.5440664291381807,1.559086322784421,338.2148747024078
sierpinski,0.015115737915039,2.7529854774475098,1.6062328815460174,1.6213486194610565,178.17353471942138
weather,0.0841288566589355,3.1010565757751465,4.45069265365599,4.534821510314925,2051.310168897049
bit,0.0393636226654052,3.8868720531463614,2.7330870628356885,2.7724506855010937,542.1998299432067
parcel,0.0255434513092041,4.094263553619385,2.8251051902770947,2.850648641586299,398.92445591340635
uniform_large,0.0229599475860595,205.5512478351593,11.236555814743038,11.259515762329098,2796.0004123377535
gaussian_large,0.0225567817687988,206.5376653671265,10.919000625610348,10.941557407379147,6749.554146355072
diagonal_large,0.0259037017822265,215.7714262008667,11.816762208938593,11.84266591072082,1756.7528885940246
sierpinski_large,0.0229189395904541,204.3668441772461,10.624925374984738,10.647844314575192,1659.9481487640687
