Label,Model,"(-0.001, 0.1]","(0.1, 0.2]","(0.2, 0.3]","(0.3, 0.4]","(0.4, 0.5]","(0.5, 0.6]","(0.6, 0.7]","(0.7, 0.8]","(0.8, 0.9]","(0.9, 1.0]",Total
California,PointNet,0.91,0.83,0.56,0.84,0.51,0.63,0.31,0.64,0.8,,0.71
California,ResNet,0.92,0.96,0.93,1.0,0.89,0.77,0.88,0.96,1.0,,0.91
Florida,PointNet,0.97,0.7,0.71,0.79,0.57,0.48,0.64,,,,0.74
Florida,ResNet,1.0,0.94,0.92,0.92,0.9,0.76,1.0,,,,0.93
Italy,PointNet,0.92,0.69,0.77,0.8,0.58,0.52,0.61,0.62,0.54,,0.66
Italy,ResNet,0.98,0.92,0.97,0.91,0.76,0.77,0.79,0.83,1.0,,0.89
New York,PointNet,0.95,0.74,0.64,0.81,0.76,0.43,0.25,0.78,0.61,0.99,0.87
New York,ResNet,0.98,1.0,0.94,0.94,1.0,0.6,0.0,0.94,1.0,1.0,0.97
United Kingdom,PointNet,0.89,0.78,0.76,0.74,0.58,0.5,0.63,0.72,0.85,0.67,0.69
United Kingdom,ResNet,0.98,0.95,0.94,0.94,0.79,0.87,0.96,0.95,1.0,1.0,0.93
